SourceFile,Video Classes 1,Keywords
A010_C020_1031FW.mp4,Results,Bath Tub
A010_C021_1031WQ.mp4,Application2,Bath Tub
A010_C022_10315M.mp4,Application1,Bath Tub
A010_C023_1031HP.mp4,Application1,Bath Tub
A010_C024_1031EQ.mp4,Application1,Bath Tub
A010_C025_1031JK.mp4,Application1,Bath Tub
A010_C026_1031Y1.mp4,Application1,Toilet
A010_C027_1031I8.mp4,Application1,Toilet
A010_C028_10310G.mp4,Application1,Toilet
A010_C029_1031M8.mp4,Application1,Toilet
A010_C030_103130.mp4,Application2,Toilet
A010_C031_1031SW.mp4,Application2,Toilet
A010_C032_1031IA.mp4,Application2,Toilet
A010_C033_1031W4.mp4,Application2,Toilet
A010_C034_103133.mp4,Results,Toilet
A010_C035_1031RF.mp4,Results,Toilet
A010_C036_10314R.mp4,Results,Toilet
A010_C037_1031W2.mp4,Results,Toilet
A011_C001_103154.mp4,Clapperboard,Toilet
A011_C002_10312M.mp4,Clapperboard,Toilet
A011_C003_1031KY.mp4,Application1,Toilet
A011_C004_1031BD.mp4,Application1,Toilet
A011_C005_1031AD.mp4,Waiting Time,Toilet
A011_C006_1031OB.mp4,Application2,Toilet
A011_C007_1031OO.mp4,Application1,Toilet
A011_C008_1031NP.mp4,Waiting Time,Toilet
A011_C009_103139.mp4,Clapperboard,Toilet
A011_C010_1031XU.mp4,Clapperboard,Toilet
A011_C011_1031R3.mp4,Application2,Toilet
A011_C012_1031AM.mp4,Clapperboard,Toilet
A011_C013_1031Y3.mp4,Waiting Time,Toilet
A011_C014_1031SA.mp4,Clapperboard,Toilet
A011_C015_1031I2.mp4,Waiting Time,Toilet
A011_C016_1031S8.mp4,Clapperboard,Toilet
A011_C017_1031D4.mp4,Application1,Toilet
A011_C018_1031IV.mp4,Waiting Time,Toilet
A011_C019_1031C5.mp4,Results,Toilet
A012_C001_1031RH.mp4,Splash Screen,Kitchen
A012_C002_1031RG.mp4,Splash Screen,Kitchen
A012_C003_1031NV.mp4,Splash Screen,Kitchen
A012_C004_1031BY.mp4,Splash Screen,Kitchen
A012_C005_1031OA.mp4,Splash Screen,Kitchen
A012_C006_10315T.mp4,Clapperboard,Kitchen
A012_C007_1031NY.mp4,Product opening,Kitchen
A012_C008_1031VN.mp4,Product opening,Kitchen
A012_C009_1031FI.mp4,Product opening,Kitchen
A012_C010_103199.mp4,Product opening,Kitchen
A012_C011_1031Z9.mp4,Product opening,Kitchen
A012_C012_1031FU.mp4,Product opening,Kitchen
A012_C013_10312Y.mp4,Clapperboard,Kitchen
A012_C014_10312R.mp4,Product opening,Kitchen
A012_C015_1031VF.mp4,Product opening,Kitchen
A012_C016_1031UO.mp4,Product opening,Kitchen
A012_C017_1031HT.mp4,Clapperboard,Kitchen
A012_C018_103123.mp4,Product opening,Kitchen
A012_C019_1031X5.mp4,Product opening,Kitchen
A012_C020_1031KI.mp4,Product opening,Kitchen
A012_C021_1031IO.mp4,Product opening,Kitchen
A012_C022_1031A0.mp4,Product opening,Kitchen
A012_C023_10315Z.mp4,Product opening,Kitchen
A012_C024_1031NZ.mp4,Product opening,Kitchen
A012_C025_1031H8.mp4,Clapperboard,Kitchen
A012_C026_10312K.mp4,Product opening,Kitchen
A012_C027_1031B3.mp4,Product opening,Kitchen
A012_C028_1031CR.mp4,Product opening,Kitchen
